Datum,Bundesland,Menge,Preis,Type_Prod,Erzeuger,Count
01.01.2024,Baden-Württemberg,3500,46.54,Non-Renewable,EnBW,14
01.01.2024,Baden-Württemberg,3500,46.54,Non-Renewable,Other,7
01.01.2024,Baden-Württemberg,3500,46.54,Renewable,EnBW,3
01.01.2024,Baden-Württemberg,3500,46.54,Renewable,Other,10
01.01.2024,Baden-Württemberg,3500,46.54,Renewable,RWE,1
01.01.2024,Bayern,3500,43.78,Non-Renewable,Eon,8
01.01.2024,Bayern,3500,43.78,Non-Renewable,Other,12
01.01.2024,Bayern,3500,43.78,Renewable,Eon,2
01.01.2024,Bayern,3500,43.78,Renewable,Other,6
01.01.2024,Berlin,3500,44.91,Non-Renewable,Vattenfall,10
01.01.2024,Brandenburg,3500,46.91,Non-Renewable,Eon,1
01.01.2024,Brandenburg,3500,46.91,Non-Renewable,Other,12
01.01.2024,Brandenburg,3500,46.91,Renewable,EnBW,3
01.01.2024,Brandenburg,3500,46.91,Renewable,Other,16
01.01.2024,Brandenburg,3500,46.91,Renewable,Vattenfall,1
01.01.2024,Bremen,3500,39.32,Non-Renewable,Other,4
01.01.2024,Hamburg,3500,46.4,Non-Renewable,Vattenfall,2
01.01.2024,Hessen,3500,42.83,Non-Renewable,Eon,2
01.01.2024,Hessen,3500,42.83,Non-Renewable,Other,8
01.01.2024,Hessen,3500,42.83,Non-Renewable,RWE,1
01.01.2024,Hessen,3500,42.83,Renewable,Eon,2
01.01.2024,Mecklenburg-Vorpommern,3500,47.59,Non-Renewable,Other,2
01.01.2024,Mecklenburg-Vorpommern,3500,47.59,Renewable,Other,2
01.01.2024,Niedersachsen,3500,42.79,Non-Renewable,Eon,2
01.01.2024,Niedersachsen,3500,42.79,Non-Renewable,Other,15
01.01.2024,Niedersachsen,3500,42.79,Non-Renewable,RWE,7
01.01.2024,Niedersachsen,3500,42.79,Renewable,Other,4
01.01.2024,Nordrhein-Westfalen,3500,44.82,Non-Renewable,Eon,4
01.01.2024,Nordrhein-Westfalen,3500,44.82,Non-Renewable,Other,34
01.01.2024,Nordrhein-Westfalen,3500,44.82,Non-Renewable,RWE,20
01.01.2024,Nordrhein-Westfalen,3500,44.82,Renewable,Other,3
01.01.2024,Nordrhein-Westfalen,3500,44.82,Renewable,RWE,2
01.01.2024,Rheinland-Pfalz,3500,45.03,Non-Renewable,Other,7
01.01.2024,Saarland,3500,47.42,Non-Renewable,Other,5
01.01.2024,Sachsen,3500,46.32,Non-Renewable,EnBW,1
01.01.2024,Sachsen,3500,46.32,Non-Renewable,Other,10
01.01.2024,Sachsen,3500,46.32,Renewable,Other,1
01.01.2024,Sachsen,3500,46.32,Renewable,Vattenfall,6
01.01.2024,Sachsen-Anhalt,3500,45.83,Non-Renewable,Other,10
01.01.2024,Sachsen-Anhalt,3500,45.83,Renewable,Other,10
01.01.2024,Schleswig-Holstein,3500,48.43,Non-Renewable,Other,1
01.01.2024,Schleswig-Holstein,3500,48.43,Non-Renewable,Vattenfall,3
01.01.2024,Schleswig-Holstein,3500,48.43,Renewable,Other,5
01.01.2024,Schleswig-Holstein,3500,48.43,Renewable,Vattenfall,1
01.01.2024,Thüringen,3500,53.36,Non-Renewable,Other,1
01.01.2024,Thüringen,3500,53.36,Renewable,Other,2
01.01.2024,Thüringen,3500,53.36,Renewable,Vattenfall,5
